写景,山水,黄河,励志,哲理 白日依山尽，黄河入海流。欲穷千里目，更上一层楼。
山水 行尽潇湘到洞庭。楚天阔处数峰青。旗梢不动晚波平。红蓼一湾纹缬乱，白鱼双尾玉刀明。夜凉船影浸疏星。
山水,写风 满载一船秋色，平铺十里湖光。波神留我看斜阳，放起鳞鳞细浪。明日风回更好，今宵露宿何妨？水晶宫里奏霓裳，准拟岳阳楼上。
离别,送别,柳树 杨柳东风树，青青夹御河。近来攀折苦，应为别离多。
写景 长堤春水绿悠悠，畎入漳河一道流。莫听声声催去棹，桃溪浅处不胜舟。
离别 蓟庭萧瑟故人稀，何处登高且送归。今日暂同芳菊酒，明朝应作断蓬飞。
夏天 窗间梅熟落蒂，墙下笋成出林。连雨不知春去，一晴方觉夏深。
爱国 南望朱雀门，北望宣德楼，皆旧御路也。州桥南北是天街，父老年年等驾回。忍泪失声询使者，"几时真有六军来？"
边塞,战争 少年随将讨河湟，头白时清返故乡。十万汉军零落尽，独吹边曲向残阳。
爱国,思乡 年去年来白发新，匆匆马上又逢春。关河底事空留客？岁月无情不贷人。一寸丹心图报国，两行清泪为思亲。孤怀激烈难消遣，漫把金盘簇五辛。
抒情,爱国 浩荡离愁白日斜，吟鞭东指即天涯。落红不是无情物，化作春泥更护花。
思乡 君家何处住，妾住在横塘。停船暂借问，或恐是同乡。
写景 轻舟去何疾，已到云林境。起坐鱼鸟间，动摇山水影。岩中响自答，溪里言弥静。事事令人幽，停桡向余景。
咏物,梅花 吾家洗砚池头树，个个花开淡墨痕。不要人夸好颜色，只流清气满乾坤。我家洗砚池边树，朵朵花开淡墨痕。不要人夸颜色好，只留清气满乾坤。
写风,思念 微风惊暮坐，临牖思悠哉。开门复动竹，疑是故人来。时滴枝上露，稍沾阶下苔。何当一入幌，为拂绿琴埃。
送别,写景 别愁已万绪，离曲方三奏。远宦一辞乡，南天异风候。秦城岁芳老，越国春山秀。落日望寒涛，公门闭清昼。何用慰相思，裁书寄关右。
边塞,写景 蕃州部落能结束，朝暮驰猎黄河曲。燕歌未断塞鸿飞，牧马群嘶边草绿。
婉约 水调数声持酒听，午醉醒来愁未醒。送春春去几时回？临晚镜，伤流景，往事后期空记省。沙上并禽池上暝，云破月来花弄影。重重帘幕密遮灯，风不定，人初静，明日落红应满径。
哲理 宋有富人，天雨墙坏。其子曰：“不筑，必将有盗。”其邻人之父亦云。暮而果大亡其财，其家甚智其子，而疑邻人之父。
写景 钓罢归来不系船，江村月落正堪眠。纵然一夜风吹去，只在芦花浅水边。
秋天 月到东南秋正半。双阙中间，浩荡流银汉。谁起水精帘下看。风前隐隐闻箫管。凉露湿衣风拂面。坐爱清光，分照恩和怨。苑柳宫槐浑一片。长门西去昭阳殿。
写景 山寺微茫背夕曛，鸟飞不到半山昏。上方孤磬定行云。试上高峰窥皓月，偶开天眼觑红尘。可怜身是眼中人。
写景,抒情 天末彤云黯四垂，失行孤雁逆风飞。江湖寥落尔安归？陌上挟丸公子笑，闺中调醯丽人嬉。今宵欢宴胜平时。
写人,抒情 美人消息隔重关，川途弯复弯。沉沉空翠厌征鞍，马前山复山。浓泼黛，缓拖鬟，当年看复看。只余眉样在人间，相逢艰复艰。
写雪 冻云宵遍岭，素雪晓凝华。入牖千重碎，迎风一半斜。不妆空散粉，无树独飘花。萦空惭夕照，破彩谢晨霞。
咏物,荷花 我梦唐宫春昼迟。正舞到、曳裾时。翠云队仗绛霞衣。慢腾腾、手双垂。忽然急鼓催将起，似彩凤、乱惊飞。梦回不见万琼妃。见荷花、被风吹。
离别,春天 峡口花飞欲尽春，天涯去住泪沾巾。来时万里同为客，今日翻成送故人。
边塞,战争 百战沙场碎铁衣，城南已合数重围。突营射杀呼延将，独领残兵千骑归。
友情 我来竟何事，高卧沙丘城。城边有古树，日夕连秋声。鲁酒不可醉，齐歌空复情。思君若汶水，浩荡寄南征。
送别,离别 天下伤心处，劳劳送客亭。春风知别苦，不遣柳条青。
抒情 九日龙山饮，黄花笑逐臣。醉看风落帽，舞爱月留人。
月亮 旧苑荒台杨柳新，菱歌清唱不胜春。只今惟有西江月，曾照吴王宫里人。
离别,写水,友情 楚水清若空，遥将碧海通。人分千里外，兴在一杯中。谷鸟吟晴日，江猿啸晚风。平生不下泪，于此泣无穷。
友情 镜湖流水漾清波，狂客归舟逸兴多。山阴道士如相见，应写黄庭换白鹅。
写人,咏史怀古 燕南壮士吴门豪，筑中置铅鱼隐刀。感君恩重许君命，太山一掷轻鸿毛。
写景 红罗袖里分明见，白玉盘中看却无。疑是老僧休念诵，腕前推下水晶珠。
咏物,抒情 胡雁鸣，辞燕山，昨发委羽朝度关。衔芦枝，南飞散落天地间，连行接翼往复还。客居烟波寄湘吴，凌霜触雪毛体枯。畏逢矰缴惊相呼，闻弦虚坠良可吁。君更弹射何为乎？
写鸟 游莫逐炎洲翠，栖莫近吴宫燕。吴宫火起焚巢窠，炎洲逐翠遭网罗。萧条两翅蓬蒿下，纵有鹰鹯奈若何。
写景,抒情 高阁横秀气，清幽并在君。檐飞宛溪水，窗落敬亭云。猿啸风中断，渔歌月里闻。闲随白鸥去，沙上自为群。
写花 世人种桃李，皆在金张门。攀折争捷径，及此春风暄。一朝天霜下，荣耀难久存。安知南山桂，绿叶垂芳根。清阴亦可托，何惜树君园。
思乡,地名 早起见日出，暮见栖鸟还。客心自酸楚，况对木瓜山。
抒情,思乡 惜彼落日暮，爱此寒泉清。西辉逐流水，荡漾游子情。空歌望云月，曲尽长松声。
友情 陶公有逸兴，不与常人俱。筑台像半月，回向高城隅。置酒望白云，商飙起寒梧。秋山入远海，桑柘罗平芜。水色渌且明，令人思镜湖。终当过江去，爱此暂踟蹰。
写水 涩滩鸣嘈嘈，两山足猿猱。白波若卷雪，侧足不容舠。渔子与舟人，撑折万张篙。
抒情 北阙圣人歌太康，南冠君子窜遐荒。汉酺闻奏钧天乐，愿得风吹到夜郎。
战争,爱国 三川北虏乱如麻，四海南奔似永嘉。但用东山谢安石，为君谈笑净胡沙。
写景 卷帘聊举目，露湿草绵芊。古岫藏云毳，空庭织碎烟。水纹愁不起，风线重难牵。尽日扶犁叟，往来江树前。
送别 秀色发江左，风流奈若何？仲文了不还，独立扬清波。载酒五松山，颓然白云歌。中天度落月，万里遥相过。抚酒惜此月，流光畏蹉跎。明日别离去，连峰郁嵯峨。
战争,写景,边塞 雷鼓嘈嘈喧武昌，云旗猎猎过寻阳。秋毫不犯三吴悦，春日遥看五色光。
写景,抒情 海潮南去过浔阳，牛渚由来险马当。横江欲渡风波恶，一水牵愁万里长。
战争,写人 西羌延国讨，白起佐军威。剑决浮云气，弓弯明月辉。马行边草绿，旌卷曙霜飞。抗手凛相顾，寒风生铁衣。
秋天,写景,思乡 岁落众芳歇，时当大火流。霜威出塞早，云色渡河秋。梦绕边城月，心飞故国楼。思归若汾水，无日不悠悠。
爱情 骏马骄行踏落花，垂鞭直拂五云车。美人一笑褰珠箔，遥指红楼是妾家。
写水 海神来过恶风回，浪打天门石壁开。浙江八月何如此？涛似连山喷雪来！
咏史怀古,爱国 金陵风景好，豪士集新亭。举目山河异，偏伤周顗情。四坐楚囚悲，不忧社稷倾。王公何慷慨，千载仰雄名。
写景,抒情 鲁客抱白鹤，别余往泰山。初行若片云，杳在青崖间。高高至天门，日观近可攀。云山望不及，此去何时还。
山水,送别 闻道稽山去，偏宜谢客才。千岩泉洒落，万壑树萦回。东海横秦望，西陵绕越台。湖清霜镜晓，涛白雪山来。八月枚乘笔，三吴张翰杯。此中多逸兴，早晚向天台。
送别 昔日绣衣何足荣，今宵贳酒与君倾。暂就东山赊月色，酣歌一夜送泉明。
写景,山水,长江 天门中断楚江开，碧水东流至此回。两岸青山相对出，孤帆一片日边来。
写景,抒情 玉树春归日，金宫乐事多。后庭朝未入，轻辇夜相过。笑出花间语，娇来竹下歌。莫教明月去，留著醉嫦娥。
写山,抒情 西上太白峰，夕阳穷登攀。太白与我语，为我开天关。愿乘泠风去，直出浮云间。举手可近月，前行若无山。一别武功去，何时复更还？
田园 故人栖东山，自爱丘壑美。青春卧空林，白日犹不起。松风清襟袖，石潭洗心耳。羡君无纷喧，高枕碧霞里。
写景,送别 衡山苍苍入紫冥，下看南极老人星。回飙吹散五峰雪，往往飞花落洞庭。气清岳秀有如此，郎将一家拖金紫。门前食客乱浮云，世人皆比孟尝君。江上送行无白璧，临歧惆怅若为分。
送别,爱国 鲁客向西笑，君门若梦中。霜凋逐臣发，日忆明光宫。复羡二龙去，才华冠世雄。平衢骋高足，逸翰凌长风。舞袖拂秋月，歌筵闻早鸿。送君日千里，良会何由同。
长江,送别,思乡 渡远荆门外，来从楚国游。山随平野尽，江入大荒流。月下飞天镜，云生结海楼。仍怜故乡水，万里送行舟。
写景 曲巷幽人宅，高门大士家。池开照胆镜，林吐破颜花。绿水藏春日，青轩秘晚霞。若闻弦管妙，金谷不能夸。
写景,抒情 银鞍白鼻騧，绿地障泥锦。细雨春风花落时，挥鞭直就胡姬饮。
写人 杜陵贤人清且廉，东谿卜筑岁将淹。宅近青山同谢脁，门垂碧柳似陶潜。好鸟迎春歌后院，飞花送酒舞前檐。客到但知留一醉，盘中只有水晶盐。
爱情 双燕复双燕，双飞令人羡。玉楼珠阁不独栖，金窗绣户长相见。柏梁失火去，因入吴王宫。吴宫又焚荡，雏尽巢亦空。憔悴一身在，孀雌忆故雄。双飞难再得，伤我寸心中。
战争,边塞 丹阳北固是吴关，画出楼台云水间。千岩烽火连沧海，两岸旌旗绕碧山。
送别,抒情,爱国 汉家兵马乘北风，鼓行而西破犬戎。尔随汉将出门去，剪虏若草收奇功。君王按剑望边色，旄头已落胡天空。匈奴系颈数应尽，明年应入蒲萄宫。
抒情 红颜悲旧国，青岁歇芳洲。不待金门诏，空持宝剑游。海云迷驿道，江月隐乡楼。复作淮南客，因逢桂树留。
春天 长安白日照春空，绿杨结烟垂袅风。披香殿前花始红，流芳发色绣户中。绣户中，相经过。飞燕皇后轻身舞，紫宫夫人绝世歌。圣君三万六千日，岁岁年年奈乐何。
豪放,秋天,写景 平林漠漠烟如织，寒山一带伤心碧。暝色入高楼，有人楼上愁。玉阶空伫立，宿鸟归飞急。何处是归程？长亭连短亭。
荷花 涉江玩秋水，爱此红蕖鲜。攀荷弄其珠，荡漾不成圆。佳人彩云里，欲赠隔远天。相思无因见，怅望凉风前。
秋天,写景,地名 峨眉山月半轮秋，影入平羌江水流。夜发清溪向三峡，思君不见下渝州。
离别 玉瓶沽美酒，数里送君还。系马垂杨下，衔杯大道间。天边看渌水，海上见青山。兴罢各分袂，何须醉别颜。
咏物,写花 园花笑芳年，池草艳春色。犹不如槿花，婵娟玉阶侧。芬荣何夭促，零落在瞬息。岂若琼树枝，终岁长翕赩。
写景 船下广陵去，月明征虏亭。山花如绣颊，江火似流萤。
夏天,写景 黄鹂啄紫椹，五月鸣桑枝。我行不记日，误作阳春时。蚕老客未归，白田已缫丝。驱马又前去，扪心空自悲。
写景,写山 众鸟高飞尽，孤云独去闲。相看两不厌，只有敬亭山。
抒情 羌笛梅花引，吴溪陇水情。寒山秋浦月，肠断玉关声。
写景 青溪胜桐庐，水木有佳色。山貌日高古，石容天倾侧。彩鸟昔未名，白猿初相识。不见同怀人，对之空叹息。
山水,写人 君寻腾空子，应到碧山家。水舂云母碓，风扫石楠花。若爱幽居好，相邀弄紫霞。多君相门女，学道爱神仙。素手掬青霭，罗衣曳紫烟。一往屏风叠，乘鸾着玉鞭。
抒情 金陵劳劳送客堂，蔓草离离生道旁。古情不尽东流水，此地悲风愁白杨。我乘素舸同康乐，朗咏清川飞夜霜。昔闻牛渚吟五章，今来何谢袁家郎。苦竹寒声动秋月，独宿空帘归梦长。
写山 石壁望松寥，宛然在碧霄。安得五彩虹，驾天作长桥。仙人如爱我，举手来相招。
思乡 汉水临襄阳，花开大堤暖。佳期大堤下，泪向南云满。春风无复情，吹我梦魂散。不见眼中人，天长音信断。
写人 风动荷花水殿香，姑苏台上宴吴王。西施醉舞娇无力，笑倚东窗白玉床。
送别 东林送客处，月出白猿啼。笑别庐山远，何烦过虎溪。
抒情 张公多逸兴，共泛沔城隅。当时秋月好，不减武昌都。四座醉清光，为欢古来无。郎官爱此水，因号郎官湖。风流若未减，名与此山俱。
友情 饭颗山头逢杜甫，顶戴笠子日卓午。借问别来太瘦生，总为从前作诗苦。
写景 柳色黄金嫩，梨花白雪香。玉楼巢翡翠，金殿锁鸳鸯。选妓随雕辇，征歌出洞房。宫中谁第一，飞燕在昭阳。
送别,写景 南浦凄凄别，西风袅袅秋。一看肠一断，好去莫回头。
儿童 小娃撑小艇，偷采白莲回。不解藏踪迹，浮萍一道开。
友情 绿蚁新醅酒，红泥小火炉。晚来天欲雪，能饮一杯无？
婉约,山水 汴水流，泗水流，流到瓜州古渡头。吴山点点愁。思悠悠，恨悠悠，恨到归时方始休。月明人倚楼。
哲理 赠君一法决狐疑，不用钻龟与祝蓍。试玉要烧三日满，辨材须待七年期。周公恐惧流言日，王莽谦恭未篡时。向使当初身便死，一生真伪复谁知？
荷花,爱情 菱叶萦波荷飐风，荷花深处小船通。逢郎欲语低头笑，碧玉搔头落水中。
春天,写水,写景,抒情 风回云断雨初晴，返照湖边暖复明。乱点碎红山杏发，平铺新绿水蘋生。翅低白雁飞仍重，舌涩黄鹂语未成。不道江南春不好，年年衰病减心情。
悼亡 夜来携手梦同游，晨起盈巾泪莫收。漳浦老身三度病，咸阳宿草八回秋。君埋泉下泥销骨，我寄人间雪满头。阿卫韩郎相次去，夜台茫昧得知不？
思念 靖安宅里当窗柳，望驿台前扑地花。两处春光同日尽，居人思客客思家。
思念,爱情 借问江潮与海水，何似君情与妾心？相恨不如潮有信，相思始觉海非深。
抒情,写景 弄石临溪坐，寻花绕寺行。时时闻鸟语，处处是泉声。
思乡 岚雾今朝重，江山此地深。滩声秋更急，峡气晓多阴。望阙云遮眼，思乡雨滴心。将何慰幽独，赖此北窗琴。
